# ----------------------------------------
# 1 Master View
# Основные последовательности конверсий
# 20170301-20170331
# ----------------------------------------

"Путь ""Источник/канал""",Конверсии,Ценность конверсии
(direct) / (none) > (direct) / (none),1 267,"48 037,97 $"
mall.googleplex.com / referral > (direct) / (none),741,"13 251,40 $"
google / organic > (direct) / (none),692,"4 999,14 $"
(direct) / (none) > (direct) / (none) > (direct) / (none),568,"21 116,98 $"
mall.googleplex.com / referral > (direct) / (none) > (direct) / (none),277,"3 770,04 $"
google / organic > (direct) / (none) > (direct) / (none),262,"3 731,63 $"
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),237,"10 110,13 $"
sites.google.com / referral > mall.googleplex.com / referral,183,"7 158,52 $"
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),168,"7 187,88 $"
mall.googleplex.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none),168,"4 213,20 $"
